customer_id,gender,senior_citizen,tenure_months,contract_type,monthly_charges,total_charges,payment_method,avg_monthly_usage,usage_trend,support_tickets_last_3m,churn,high_value_customer,tenure_bucket_Mid,tenure_bucket_Long,support_intensity_Medium,support_intensity_High
CUST_38,1,1,15,0,87.87,1318.05,0,205.7,2,1,0,0,True,False,False,False
CUST_39,1,0,14,0,79.8,1117.2,3,358.5,2,0,0,0,True,False,False,False
CUST_40,1,1,70,0,65.0,4550.0,0,410.0,0,3,0,0,False,True,True,False
CUST_41,1,0,14,0,54.77,766.78,2,349.5,1,0,0,0,True,False,False,False
CUST_42,1,0,16,0,47.14,754.24,3,179.6,2,0,0,0,True,False,False,False
CUST_43,0,0,3,0,20.0,60.0,3,311.4,2,1,0,0,False,False,False,False
CUST_44,0,0,40,2,67.12,2684.8,3,389.3,2,0,0,0,False,True,False,False
CUST_45,0,0,1,0,41.42,41.42,3,271.1,1,1,0,0,False,False,False,False
CUST_46,0,0,8,1,48.1,384.8,3,214.6,2,3,0,0,False,False,True,False
CUST_47,0,0,29,1,62.49,1812.21,3,211.2,1,1,0,0,True,False,False,False
CUST_48,1,0,3,0,56.97,170.91,3,332.2,0,1,0,0,False,False,False,False
CUST_49,0,0,11,2,83.69,920.59,0,266.8,1,0,0,0,False,False,False,False
CUST_50,0,0,19,1,65.83,1250.77,2,238.2,0,1,0,0,True,False,False,False
CUST_51,1,0,17,0,110.67,1881.39,0,90.1,2,1,0,1,True,False,False,False
CUST_52,0,0,10,0,124.85,1248.5,3,480.3,1,0,1,1,False,False,False,False
CUST_53,1,0,34,1,62.35,2119.9,3,268.6,1,1,0,0,True,False,False,False
CUST_54,0,0,36,0,48.83,1757.88,3,381.4,2,0,0,0,True,False,False,False
CUST_55,1,0,30,0,25.92,777.6,0,433.8,2,2,0,0,True,False,True,False
CUST_56,0,0,13,0,115.7,1504.1,2,600.0,2,1,1,1,True,False,False,False
CUST_57,0,0,22,0,51.9,1141.8,2,368.2,1,1,1,0,True,False,False,False
CUST_58,1,0,11,1,56.49,621.39,0,333.5,2,1,0,0,False,False,False,False
CUST_59,1,0,72,2,52.51,3780.72,1,145.0,2,2,0,0,False,True,True,False
CUST_60,1,0,25,1,61.83,1545.75,1,97.3,0,0,0,0,True,False,False,False
CUST_61,1,1,13,0,58.08,755.04,2,61.3,2,3,0,0,True,False,True,False
CUST_62,1,1,72,2,90.67,6528.24,1,283.1,2,0,0,1,False,True,False,False
CUST_63,1,0,14,1,20.0,280.0,0,200.2,2,2,0,0,True,False,True,False
CUST_64,1,0,24,1,65.31,1567.44,2,251.4,0,1,0,0,True,False,False,False
CUST_65,1,0,34,0,87.95,2990.3,2,443.7,1,1,1,0,True,False,False,False
CUST_66,0,0,12,0,52.74,632.88,0,351.7,0,3,0,0,False,False,True,False
CUST_67,0,0,11,2,84.71,931.81,0,298.6,2,3,0,0,False,False,True,False
CUST_68,1,0,39,0,72.24,2817.36,0,319.6,1,1,0,0,False,True,False,False
CUST_69,0,1,34,1,52.06,1770.04,3,230.3,0,2,0,0,True,False,True,False
CUST_70,0,0,34,1,24.69,839.46,1,252.1,0,1,0,0,True,False,False,False
CUST_71,0,0,27,0,80.16,2164.32,1,161.7,0,0,0,0,True,False,False,False
CUST_72,0,0,70,1,77.96,5457.2,2,377.7,2,3,0,0,False,True,True,False
CUST_73,1,0,20,0,51.48,1029.6,1,477.1,0,2,1,0,True,False,True,False
CUST_74,0,0,9,1,89.0,801.0,2,436.2,1,1,0,0,False,False,False,False
CUST_75,1,1,6,2,57.87,347.22,2,302.5,2,1,0,0,False,False,False,False
CUST_76,0,0,14,2,95.86,1342.04,3,395.7,1,0,0,1,True,False,False,False
CUST_77,0,0,1,2,77.58,77.58,2,354.4,2,1,0,0,False,False,False,False
CUST_78,0,0,50,0,107.0,5350.0,3,317.3,1,0,0,1,False,True,False,False
CUST_79,1,0,26,1,79.08,2056.08,1,335.2,2,0,0,0,True,False,False,False
CUST_80,0,0,9,1,70.7,636.3,3,168.2,1,1,1,0,False,False,False,False
CUST_81,1,0,41,0,22.89,938.49,0,252.0,2,0,1,0,False,True,False,False
CUST_82,0,0,6,0,71.34,428.04,3,231.8,1,2,1,0,False,False,True,False
CUST_83,1,0,8,1,64.02,512.16,2,148.8,1,0,1,0,False,False,False,False
CUST_84,0,0,21,0,110.38,2317.98,1,357.7,2,3,0,1,True,False,True,False
CUST_85,1,0,54,2,75.34,4068.36,2,370.2,2,1,0,0,False,True,False,False
CUST_86,1,0,26,0,89.56,2328.56,1,50.0,2,0,0,0,True,False,False,False
CUST_87,0,0,8,0,105.1,840.8,2,298.5,2,3,1,1,False,False,True,False
CUST_88,1,0,9,0,103.49,931.41,3,266.1,0,0,1,1,False,False,False,False
CUST_89,0,0,23,2,67.82,1559.86,2,237.6,1,2,0,0,True,False,True,False
CUST_90,0,0,5,2,123.22,616.1,0,135.2,2,1,1,1,False,False,False,False
CUST_91,0,0,5,0,57.35,286.75,0,306.1,2,0,0,0,False,False,False,False
CUST_92,0,0,15,1,103.26,1548.9,1,301.9,2,1,0,1,True,False,False,False
CUST_93,0,0,31,1,51.34,1591.54,1,262.3,2,4,0,0,True,False,False,True
CUST_94,0,0,33,1,91.5,3019.5,3,380.9,2,0,0,1,True,False,False,False
CUST_95,0,0,21,1,45.9,963.9,2,376.5,0,2,1,0,True,False,True,False
CUST_96,0,0,37,0,85.47,3162.39,0,113.7,2,2,0,0,False,True,True,False
CUST_97,0,0,59,0,48.65,2870.35,3,376.3,0,1,0,0,False,True,False,False
CUST_98,0,0,12,0,44.08,528.96,1,204.4,2,1,0,0,False,False,False,False
CUST_99,0,0,4,0,45.84,183.36,3,272.7,0,0,1,0,False,False,False,False
CUST_100,1,0,14,0,82.45,1154.3,1,464.8,0,1,0,0,True,False,False,False
CUST_101,1,0,8,0,82.36,658.88,1,295.7,2,1,1,0,False,False,False,False
CUST_102,0,0,27,1,82.25,2220.75,3,402.8,0,1,1,0,True,False,False,False
CUST_103,0,0,6,0,75.53,453.18,2,274.6,2,0,0,0,False,False,False,False
CUST_104,0,0,18,1,57.9,1042.2,3,393.6,0,0,0,0,True,False,False,False
CUST_105,0,0,8,1,51.96,415.68,1,294.6,1,0,1,0,False,False,False,False
CUST_106,0,0,15,2,44.12,661.8,0,273.1,0,0,0,0,True,False,False,False
CUST_107,0,0,19,1,42.63,809.97,2,312.3,0,0,0,0,True,False,False,False
CUST_108,0,0,31,2,100.33,3110.23,2,188.1,0,0,0,1,True,False,False,False
CUST_109,0,0,19,0,43.53,827.07,0,248.5,2,1,0,0,True,False,False,False
CUST_110,1,1,11,1,46.7,513.7,2,361.1,2,0,0,0,False,False,False,False
CUST_111,0,1,34,0,45.05,1531.7,1,383.8,2,1,0,0,True,False,False,False
CUST_112,1,1,20,1,36.83,736.6,3,208.8,0,0,0,0,True,False,False,False
CUST_113,0,0,12,0,77.62,931.44,1,472.3,0,1,1,0,False,False,False,False
CUST_114,0,0,31,1,56.6,1754.6,2,480.8,2,0,0,0,True,False,False,False
CUST_115,1,0,23,0,65.91,1515.93,0,207.5,2,0,1,0,True,False,False,False
CUST_116,0,0,29,0,67.09,1945.61,2,254.4,2,1,0,0,True,False,False,False
CUST_117,1,0,43,1,77.22,3320.46,1,297.0,2,1,0,0,False,True,False,False
CUST_118,0,0,7,2,72.53,507.71,2,421.5,1,2,0,0,False,False,True,False
CUST_119,0,0,72,0,99.59,7170.48,2,357.3,1,0,0,1,False,True,False,False
CUST_120,1,0,27,2,53.3,1439.1,1,269.4,1,3,0,0,True,False,True,False
CUST_121,0,0,6,0,55.2,331.2,2,173.6,2,0,0,0,False,False,False,False
CUST_122,1,1,47,1,67.78,3185.66,1,104.3,0,1,0,0,False,True,False,False
CUST_123,0,0,10,2,68.17,681.7,0,328.6,2,0,0,0,False,False,False,False
CUST_124,1,0,60,0,32.93,1975.8,2,482.0,0,1,1,0,False,True,False,False
CUST_125,1,1,7,0,30.58,214.06,0,300.4,0,1,1,0,False,False,False,False
CUST_126,0,0,18,0,66.48,1196.64,3,341.5,2,2,0,0,True,False,True,False
CUST_127,0,0,35,0,104.64,3662.4,2,321.1,2,1,0,1,True,False,False,False
CUST_128,1,0,31,1,107.12,3320.72,3,136.1,2,3,0,1,True,False,True,False
CUST_129,0,0,25,1,42.07,1051.75,0,457.1,1,2,0,0,True,False,True,False
CUST_130,0,1,40,2,59.24,2369.6,0,221.2,0,0,0,0,False,True,False,False
CUST_131,0,0,13,0,74.06,962.78,1,220.0,0,1,0,0,True,False,False,False
CUST_132,1,0,41,0,77.6,3181.6,3,346.6,0,1,1,0,False,True,False,False
CUST_133,1,0,11,0,45.66,502.26,3,228.2,1,0,1,0,False,False,False,False
CUST_134,1,0,56,2,112.56,6303.36,1,169.7,2,0,0,1,False,True,False,False
CUST_135,1,1,12,0,55.74,668.88,3,396.8,2,1,1,0,False,False,False,False
CUST_136,1,0,5,2,79.22,396.1,0,312.8,2,1,0,0,False,False,False,False
CUST_137,1,0,32,0,61.77,1976.64,0,395.9,1,0,0,0,True,False,False,False
CUST_138,1,0,22,1,61.89,1361.58,0,263.2,2,0,0,0,True,False,False,False
CUST_139,1,0,25,0,88.92,2223.0,0,254.5,2,0,0,0,True,False,False,False
CUST_140,1,1,15,2,94.62,1419.3,2,325.3,0,0,1,1,True,False,False,False
CUST_141,0,0,28,1,87.02,2436.56,1,335.2,0,1,0,0,True,False,False,False
CUST_142,1,0,52,1,47.92,2491.84,2,235.8,2,2,0,0,False,True,True,False
CUST_143,0,0,24,1,36.36,872.64,2,223.8,2,0,0,0,True,False,False,False
CUST_144,0,0,4,0,136.51,546.04,3,390.7,0,2,1,1,False,False,True,False
CUST_145,0,0,19,0,77.67,1475.73,1,333.4,2,1,0,0,True,False,False,False
CUST_146,1,1,27,2,47.55,1283.85,2,327.5,2,3,0,0,True,False,True,False
CUST_147,1,0,58,0,93.56,5426.48,2,102.5,2,1,0,1,False,True,False,False
CUST_148,1,1,33,2,47.35,1562.55,1,325.8,2,3,0,0,True,False,True,False
CUST_149,1,0,9,1,119.21,1072.89,0,337.2,2,2,0,1,False,False,True,False
CUST_150,0,0,19,0,59.81,1136.39,1,268.0,0,1,1,0,True,False,False,False
CUST_151,1,0,34,1,91.47,3109.98,1,356.5,0,1,0,1,True,False,False,False
CUST_152,1,0,29,1,68.88,1997.52,1,230.7,1,1,0,0,True,False,False,False
CUST_153,1,1,30,1,31.9,957.0,0,334.3,2,1,0,0,True,False,False,False
CUST_154,1,0,5,2,45.4,227.0,1,147.5,1,1,0,0,False,False,False,False
CUST_155,1,0,32,0,50.81,1625.92,0,390.4,2,0,0,0,True,False,False,False
CUST_156,0,0,23,2,52.88,1216.24,2,222.8,2,1,0,0,True,False,False,False
CUST_157,1,0,33,0,74.69,2464.77,2,343.4,1,0,0,0,True,False,False,False
CUST_158,0,0,22,2,20.0,440.0,0,424.3,0,1,0,0,True,False,False,False
CUST_159,1,0,17,0,74.86,1272.62,3,398.7,1,0,0,0,True,False,False,False
CUST_160,0,0,42,0,20.61,865.62,1,343.1,2,1,0,0,False,True,False,False
CUST_161,1,0,28,1,78.95,2210.6,2,382.2,0,0,0,0,True,False,False,False
CUST_162,1,0,6,0,49.99,299.94,2,449.4,2,1,0,0,False,False,False,False
CUST_163,0,0,21,2,73.37,1540.77,0,312.0,0,0,0,0,True,False,False,False
CUST_164,0,0,15,0,36.65,549.75,3,397.0,2,2,1,0,True,False,True,False
CUST_165,0,0,13,0,54.27,705.51,3,182.1,0,4,1,0,True,False,False,True
CUST_166,1,1,28,0,20.0,560.0,3,227.9,2,5,0,0,True,False,False,True
CUST_167,0,0,22,0,38.84,854.48,0,450.7,1,0,1,0,True,False,False,False
CUST_168,1,0,28,1,105.04,2941.12,0,275.2,2,2,0,1,True,False,True,False
CUST_169,1,0,38,0,105.7,4016.6,1,247.5,2,0,0,1,False,True,False,False
CUST_170,0,0,18,0,38.9,700.2,2,271.4,2,1,0,0,True,False,False,False
CUST_171,0,0,37,0,61.54,2276.98,2,228.8,0,1,1,0,False,True,False,False
CUST_172,1,0,11,0,81.46,896.06,0,283.0,1,3,1,0,False,False,True,False
CUST_173,1,0,44,0,72.01,3168.44,2,195.1,2,3,0,0,False,True,True,False
CUST_174,0,0,12,1,55.6,667.2,1,243.2,0,0,0,0,False,False,False,False
CUST_175,0,0,7,1,31.07,217.49,0,307.9,0,2,0,0,False,False,True,False
CUST_176,0,0,26,1,91.93,2390.18,2,457.2,2,1,0,1,True,False,False,False
CUST_177,1,1,19,2,57.3,1088.7,3,295.5,1,2,0,0,True,False,True,False
CUST_178,1,0,21,2,28.86,606.06,0,127.5,0,2,0,0,True,False,True,False
CUST_179,1,0,6,0,68.87,413.22,2,400.6,0,2,1,0,False,False,True,False
CUST_180,1,1,7,0,61.41,429.87,2,380.6,1,1,1,0,False,False,False,False
CUST_181,1,0,15,2,57.28,859.2,1,220.6,1,0,0,0,True,False,False,False
CUST_182,1,0,32,1,73.16,2341.12,1,378.9,0,3,0,0,True,False,True,False
CUST_183,0,0,15,0,64.68,970.2,3,286.8,2,0,0,0,True,False,False,False
CUST_184,1,1,7,1,98.03,686.21,3,444.4,1,1,0,1,False,False,False,False
CUST_185,1,0,44,2,47.17,2075.48,3,538.8,2,2,0,0,False,True,True,False
CUST_186,1,1,7,2,50.73,355.11,1,339.8,2,1,0,0,False,False,False,False
CUST_187,0,0,21,0,89.29,1875.09,2,376.8,0,0,0,0,True,False,False,False
CUST_188,1,0,33,2,132.38,4368.54,0,460.3,1,2,1,1,True,False,True,False
CUST_189,1,1,14,2,128.47,1798.58,0,396.1,2,2,0,1,True,False,True,False
CUST_190,0,0,33,0,88.3,2913.9,1,345.5,1,1,0,0,True,False,False,False
CUST_191,1,0,55,2,61.24,3368.2,1,289.1,1,1,0,0,False,True,False,False
CUST_192,1,0,32,2,56.65,1812.8,1,186.6,2,2,0,0,True,False,True,False
CUST_193,1,0,18,0,60.32,1085.76,1,272.3,0,1,0,0,True,False,False,False
CUST_194,1,1,21,1,26.47,555.87,0,276.4,2,0,0,0,True,False,False,False
CUST_195,1,0,2,0,87.07,174.14,3,302.2,2,1,0,0,False,False,False,False
CUST_196,0,0,12,1,103.03,1236.36,0,116.7,2,1,0,1,False,False,False,False
CUST_197,0,0,2,2,66.62,133.24,1,264.0,2,3,1,0,False,False,True,False
CUST_198,0,0,9,0,122.32,1100.88,3,274.1,0,0,1,1,False,False,False,False
CUST_199,1,0,20,0,138.15,2763.0,0,160.7,2,1,0,1,True,False,False,False
CUST_200,1,0,25,2,92.13,2303.25,1,340.6,1,0,0,1,True,False,False,False
CUST_201,1,0,29,2,53.24,1543.96,1,392.7,1,0,0,0,True,False,False,False
CUST_202,0,1,67,0,48.54,3252.18,2,299.6,2,0,1,0,False,True,False,False
CUST_203,1,0,5,2,89.35,446.75,2,175.8,0,0,1,0,False,False,False,False
CUST_204,1,0,8,0,96.33,770.64,1,289.7,1,1,0,1,False,False,False,False
CUST_205,0,1,24,0,53.58,1285.92,0,373.3,1,0,0,0,True,False,False,False
CUST_206,1,0,35,1,41.01,1435.35,2,369.9,2,0,0,0,True,False,False,False
CUST_207,0,0,11,1,27.23,299.53,0,295.3,1,2,0,0,False,False,True,False
CUST_208,0,0,22,1,43.91,966.02,0,341.0,0,1,0,0,True,False,False,False
CUST_209,0,1,25,0,59.55,1488.75,2,236.5,1,0,1,0,True,False,False,False
CUST_210,1,0,58,0,97.26,5641.08,1,374.5,2,2,0,1,False,True,True,False
CUST_211,1,1,5,2,55.68,278.4,2,259.1,1,1,0,0,False,False,False,False
CUST_212,1,0,28,0,20.0,560.0,0,223.6,2,3,0,0,True,False,True,False
CUST_213,1,0,35,0,53.62,1876.7,3,395.2,2,0,0,0,True,False,False,False
CUST_214,1,0,30,2,61.67,1850.1,2,313.3,0,1,0,0,True,False,False,False
CUST_215,1,0,47,1,61.12,2872.64,3,308.2,2,0,0,0,False,True,False,False
CUST_216,1,0,7,0,20.0,140.0,1,353.4,1,0,1,0,False,False,False,False
CUST_217,0,0,1,0,61.47,61.47,2,293.2,1,2,1,0,False,False,True,False
CUST_218,1,0,45,2,103.0,4635.0,3,206.8,0,0,0,1,False,True,False,False
CUST_219,0,0,14,2,58.35,816.9,1,277.5,2,1,0,0,True,False,False,False
CUST_220,1,0,18,0,53.13,956.34,0,151.0,1,0,0,0,True,False,False,False
CUST_221,1,0,20,1,50.7,1014.0,1,417.2,2,1,0,0,True,False,False,False
CUST_222,1,0,22,0,73.83,1624.26,1,189.1,1,1,0,0,True,False,False,False
CUST_223,0,0,38,2,31.92,1212.96,0,494.4,2,1,0,0,False,True,False,False
CUST_224,0,0,27,0,41.66,1124.82,1,221.1,0,3,0,0,True,False,True,False
CUST_225,0,0,5,1,98.05,490.25,2,361.6,2,3,1,1,False,False,True,False
CUST_226,0,0,18,0,86.78,1562.04,1,487.8,0,1,0,0,True,False,False,False
CUST_227,1,0,25,0,56.44,1411.0,3,326.1,2,1,1,0,True,False,False,False
CUST_228,0,1,29,2,82.16,2382.64,1,267.8,2,0,0,0,True,False,False,False
CUST_229,1,0,17,0,47.01,799.17,3,303.2,1,0,1,0,True,False,False,False
CUST_230,1,0,12,2,46.7,560.4,1,213.5,2,2,0,0,False,False,True,False
CUST_231,0,0,39,0,46.19,1801.41,2,97.4,2,0,1,0,False,True,False,False
CUST_232,0,0,14,0,30.76,430.64,0,359.6,1,1,1,0,True,False,False,False
CUST_233,0,0,31,0,67.63,2096.53,0,97.4,1,0,1,0,True,False,False,False
CUST_234,0,0,37,0,119.75,4430.75,3,163.2,2,0,0,1,False,True,False,False
CUST_235,0,0,24,0,20.06,481.44,1,305.8,1,0,1,0,True,False,False,False
CUST_236,0,0,11,2,112.15,1233.65,1,234.0,2,0,0,1,False,False,False,False
CUST_237,0,0,27,1,20.0,540.0,2,349.1,2,0,0,0,True,False,False,False
CUST_238,0,0,16,2,82.48,1319.68,1,459.9,2,0,0,0,True,False,False,False
CUST_239,1,0,72,0,23.57,1697.04,3,274.4,2,2,1,0,False,True,True,False
CUST_240,0,0,36,0,82.78,2980.08,3,239.2,2,0,1,0,True,False,False,False
CUST_241,0,1,35,0,49.68,1738.8,2,476.8,1,1,1,0,True,False,False,False
CUST_242,1,0,44,2,87.95,3869.8,3,368.4,0,3,1,0,False,True,True,False
CUST_243,0,0,2,0,49.88,99.76,3,392.4,2,2,1,0,False,False,True,False
CUST_244,1,1,18,0,82.33,1481.94,2,384.5,2,0,0,0,True,False,False,False
CUST_245,1,0,42,0,64.59,2712.78,3,275.3,2,0,0,0,False,True,False,False
CUST_246,0,0,12,0,100.2,1202.4,3,262.4,2,1,1,1,False,False,False,False
CUST_247,1,0,4,0,65.14,260.56,0,204.9,2,1,1,0,False,False,False,False
CUST_248,1,1,22,0,75.17,1653.74,2,372.7,1,1,1,0,True,False,False,False
CUST_249,1,0,9,0,71.39,642.51,0,338.5,0,1,0,0,False,False,False,False
CUST_250,1,0,10,0,91.83,918.3,1,364.6,2,0,1,1,False,False,False,False
CUST_251,0,0,17,1,93.26,1585.42,2,112.9,2,1,0,1,True,False,False,False
CUST_252,1,1,6,2,70.9,425.4,1,393.1,2,1,0,0,False,False,False,False
CUST_253,0,0,16,1,26.59,425.44,3,254.1,2,1,0,0,True,False,False,False
CUST_254,1,0,24,0,45.52,1092.48,0,90.0,1,3,1,0,True,False,True,False
CUST_255,1,1,71,0,89.52,6355.92,3,170.1,2,0,0,0,False,True,False,False
CUST_256,1,0,13,2,31.18,405.34,0,249.9,2,1,0,0,True,False,False,False
CUST_257,1,0,17,0,51.49,875.33,0,228.3,0,1,1,0,True,False,False,False
CUST_258,0,0,30,0,54.64,1639.2,0,301.3,0,1,0,0,True,False,False,False
CUST_259,0,0,15,2,64.05,960.75,0,345.9,0,0,0,0,True,False,False,False
CUST_260,1,1,11,2,60.48,665.28,3,288.6,0,2,0,0,False,False,True,False
CUST_261,1,0,43,2,70.8,3044.4,3,252.8,2,4,0,0,False,True,False,True
CUST_262,0,0,56,2,43.13,2415.28,3,314.2,2,0,0,0,False,True,False,False
CUST_263,1,0,15,2,48.11,721.65,0,315.6,1,2,0,0,True,False,True,False
CUST_264,1,0,11,1,114.26,1256.86,1,426.9,2,0,0,1,False,False,False,False
CUST_265,1,1,10,0,104.91,1049.1,3,238.9,2,1,0,1,False,False,False,False
CUST_266,0,0,31,2,82.68,2563.08,3,288.9,2,1,0,0,True,False,False,False
CUST_267,0,0,47,2,85.23,4005.81,2,464.8,2,2,0,0,False,True,True,False
CUST_268,0,0,26,0,76.39,1986.14,1,178.0,2,2,0,0,True,False,True,False
CUST_269,1,1,32,0,68.23,2183.36,3,263.5,2,1,0,0,True,False,False,False
CUST_270,1,0,40,0,47.8,1912.0,3,208.6,2,2,1,0,False,True,True,False
CUST_271,0,0,57,2,105.77,6028.89,2,174.6,1,0,1,1,False,True,False,False
CUST_272,0,0,27,1,116.23,3138.21,0,322.5,0,1,0,1,True,False,False,False
CUST_273,0,0,14,0,55.68,779.52,1,433.0,0,2,0,0,True,False,True,False
CUST_274,0,0,34,0,96.94,3295.96,1,509.8,1,1,1,1,True,False,False,False
CUST_275,1,0,44,2,58.54,2575.76,2,295.8,2,1,0,0,False,True,False,False
CUST_276,0,0,16,1,49.52,792.32,1,350.5,2,1,0,0,True,False,False,False
CUST_277,1,0,2,0,58.28,116.56,3,354.1,1,1,1,0,False,False,False,False
CUST_278,0,0,14,0,59.74,836.36,1,279.4,2,4,0,0,True,False,False,True
CUST_279,1,1,6,0,84.09,504.54,2,428.1,0,0,0,0,False,False,False,False
CUST_280,0,0,14,0,57.9,810.6,0,283.6,2,0,1,0,True,False,False,False
CUST_281,0,1,18,1,90.39,1627.02,2,408.6,1,2,0,1,True,False,True,False
CUST_282,0,0,28,0,50.76,1421.28,1,264.3,2,0,1,0,True,False,False,False
CUST_283,0,0,32,0,67.53,2160.96,2,184.7,2,0,1,0,True,False,False,False
CUST_284,1,1,15,1,40.7,610.5,2,190.9,0,2,1,0,True,False,True,False
CUST_285,0,0,30,0,36.41,1092.3,1,138.2,2,1,0,0,True,False,False,False
CUST_286,1,0,28,2,78.18,2189.04,0,426.3,0,2,0,0,True,False,True,False
CUST_287,1,1,28,0,71.71,2007.88,3,427.7,1,1,0,0,True,False,False,False
CUST_288,1,0,10,0,57.5,575.0,2,228.6,0,1,0,0,False,False,False,False
CUST_289,1,0,34,0,45.83,1558.22,0,193.2,2,2,1,0,True,False,True,False
CUST_290,0,0,23,0,39.98,919.54,0,222.4,0,1,0,0,True,False,False,False
CUST_291,1,0,19,0,77.96,1481.24,2,317.8,1,1,0,0,True,False,False,False
CUST_292,1,0,11,0,51.77,569.47,1,206.4,2,2,0,0,False,False,True,False
CUST_293,1,0,15,1,109.88,1648.2,1,355.0,1,0,0,1,True,False,False,False
CUST_294,0,0,38,0,73.57,2795.66,2,269.6,2,3,0,0,False,True,True,False
CUST_295,0,0,30,0,82.36,2470.8,1,408.4,0,1,0,0,True,False,False,False
CUST_296,0,0,12,2,104.44,1253.28,1,367.4,2,2,0,1,False,False,True,False
CUST_297,0,0,22,0,48.52,1067.44,0,187.8,0,3,1,0,True,False,True,False
CUST_298,1,0,29,1,80.45,2333.05,3,173.9,1,3,0,0,True,False,True,False
CUST_299,1,0,13,0,81.78,1063.14,3,320.8,0,1,0,0,True,False,False,False
CUST_300,0,0,34,0,56.3,1914.2,1,281.8,2,1,1,0,True,False,False,False
CUST_301,1,0,3,0,30.86,92.58,1,427.4,2,2,0,0,False,False,True,False
CUST_302,1,0,33,0,20.0,660.0,2,339.0,2,1,0,0,True,False,False,False
CUST_303,1,0,32,2,46.57,1490.24,1,254.2,0,1,0,0,True,False,False,False
CUST_304,0,1,24,0,97.15,2331.6,2,468.1,1,2,0,1,True,False,True,False
CUST_305,0,0,17,1,49.68,844.56,3,257.1,0,0,1,0,True,False,False,False
CUST_306,1,0,9,1,93.27,839.43,0,166.1,0,0,1,1,False,False,False,False
CUST_307,0,0,20,0,50.2,1004.0,2,279.4,1,2,1,0,True,False,True,False
CUST_308,0,0,27,1,70.39,1900.53,0,219.4,0,2,1,0,True,False,True,False
