customer_id,gender,senior_citizen,tenure_months,contract_type,monthly_charges,total_charges,payment_method,avg_monthly_usage,usage_trend,support_tickets_last_3m,churn,high_value_customer,tenure_bucket_Mid,tenure_bucket_Long,support_intensity_Medium,support_intensity_High,churn_probability,risk_segment,revenue_at_risk
CUST_135,1,1,12,0,55.74,668.88,3,396.8,2,1,1,0,False,False,False,False,0.51,Medium,28.43
CUST_136,1,0,5,2,79.22,396.1,0,312.8,2,1,0,0,False,False,False,False,0.18,Low,14.26
CUST_137,1,0,32,0,61.77,1976.64,0,395.9,1,0,0,0,True,False,False,False,0.26,Low,16.06
CUST_138,1,0,22,1,61.89,1361.58,0,263.2,2,0,0,0,True,False,False,False,0.09,Low,5.57
CUST_139,1,0,25,0,88.92,2223.0,0,254.5,2,0,0,0,True,False,False,False,0.18,Low,16.01
CUST_140,1,1,15,2,94.62,1419.3,2,325.3,0,0,1,1,True,False,False,False,0.2,Low,18.92
CUST_141,0,0,28,1,87.02,2436.56,1,335.2,0,1,0,0,True,False,False,False,0.2,Low,17.4
CUST_142,1,0,52,1,47.92,2491.84,2,235.8,2,2,0,0,False,True,True,False,0.11,Low,5.27
CUST_143,0,0,24,1,36.36,872.64,2,223.8,2,0,0,0,True,False,False,False,0.1,Low,3.64
CUST_144,0,0,4,0,136.51,546.04,3,390.7,0,2,1,1,False,False,True,False,0.85,High,116.03
CUST_145,0,0,19,0,77.67,1475.73,1,333.4,2,1,0,0,True,False,False,False,0.21,Low,16.31
CUST_146,1,1,27,2,47.55,1283.85,2,327.5,2,3,0,0,True,False,True,False,0.06,Low,2.85
CUST_147,1,0,58,0,93.56,5426.48,2,102.5,2,1,0,1,False,True,False,False,0.37,Medium,34.62
CUST_148,1,1,33,2,47.35,1562.55,1,325.8,2,3,0,0,True,False,True,False,0.06,Low,2.84
CUST_149,1,0,9,1,119.21,1072.89,0,337.2,2,2,0,1,False,False,True,False,0.54,Medium,64.37
CUST_150,0,0,19,0,59.81,1136.39,1,268.0,0,1,1,0,True,False,False,False,0.37,Medium,22.13
CUST_151,1,0,34,1,91.47,3109.98,1,356.5,0,1,0,1,True,False,False,False,0.39,Medium,35.67
CUST_152,1,0,29,1,68.88,1997.52,1,230.7,1,1,0,0,True,False,False,False,0.15,Low,10.33
CUST_153,1,1,30,1,31.9,957.0,0,334.3,2,1,0,0,True,False,False,False,0.12,Low,3.83
CUST_154,1,0,5,2,45.4,227.0,1,147.5,1,1,0,0,False,False,False,False,0.24,Low,10.9
CUST_155,1,0,32,0,50.81,1625.92,0,390.4,2,0,0,0,True,False,False,False,0.2,Low,10.16
CUST_156,0,0,23,2,52.88,1216.24,2,222.8,2,1,0,0,True,False,False,False,0.05,Low,2.64
CUST_157,1,0,33,0,74.69,2464.77,2,343.4,1,0,0,0,True,False,False,False,0.24,Low,17.93
CUST_158,0,0,22,2,20.0,440.0,0,424.3,0,1,0,0,True,False,False,False,0.12,Low,2.4
CUST_159,1,0,17,0,74.86,1272.62,3,398.7,1,0,0,0,True,False,False,False,0.24,Low,17.97
CUST_160,0,0,42,0,20.61,865.62,1,343.1,2,1,0,0,False,True,False,False,0.24,Low,4.95
CUST_161,1,0,28,1,78.95,2210.6,2,382.2,0,0,0,0,True,False,False,False,0.17,Low,13.42
CUST_162,1,0,6,0,49.99,299.94,2,449.4,2,1,0,0,False,False,False,False,0.52,Medium,25.99
CUST_163,0,0,21,2,73.37,1540.77,0,312.0,0,0,0,0,True,False,False,False,0.09,Low,6.6
CUST_164,0,0,15,0,36.65,549.75,3,397.0,2,2,1,0,True,False,True,False,0.21,Low,7.7
CUST_165,0,0,13,0,54.27,705.51,3,182.1,0,4,1,0,True,False,False,True,0.49,Medium,26.59
CUST_166,1,1,28,0,20.0,560.0,3,227.9,2,5,0,0,True,False,False,True,0.37,Medium,7.4
CUST_167,0,0,22,0,38.84,854.48,0,450.7,1,0,1,0,True,False,False,False,0.27,Low,10.49
CUST_168,1,0,28,1,105.04,2941.12,0,275.2,2,2,0,1,True,False,True,False,0.22,Low,23.11
CUST_169,1,0,38,0,105.7,4016.6,1,247.5,2,0,0,1,False,True,False,False,0.34,Medium,35.94
CUST_170,0,0,18,0,38.9,700.2,2,271.4,2,1,0,0,True,False,False,False,0.22,Low,8.56
CUST_171,0,0,37,0,61.54,2276.98,2,228.8,0,1,1,0,False,True,False,False,0.36,Medium,22.15
CUST_172,1,0,11,0,81.46,896.06,0,283.0,1,3,1,0,False,False,True,False,0.64,High,52.13
CUST_173,1,0,44,0,72.01,3168.44,2,195.1,2,3,0,0,False,True,True,False,0.23,Low,16.56
CUST_174,0,0,12,1,55.6,667.2,1,243.2,0,0,0,0,False,False,False,False,0.46,Medium,25.58
CUST_175,0,0,7,1,31.07,217.49,0,307.9,0,2,0,0,False,False,True,False,0.51,Medium,15.85
CUST_176,0,0,26,1,91.93,2390.18,2,457.2,2,1,0,1,True,False,False,False,0.23,Low,21.14
CUST_177,1,1,19,2,57.3,1088.7,3,295.5,1,2,0,0,True,False,True,False,0.07,Low,4.01
CUST_178,1,0,21,2,28.86,606.06,0,127.5,0,2,0,0,True,False,True,False,0.11,Low,3.17
CUST_179,1,0,6,0,68.87,413.22,2,400.6,0,2,1,0,False,False,True,False,0.69,High,47.52
CUST_180,1,1,7,0,61.41,429.87,2,380.6,1,1,1,0,False,False,False,False,0.6,Medium,36.85
CUST_181,1,0,15,2,57.28,859.2,1,220.6,1,0,0,0,True,False,False,False,0.06,Low,3.44
CUST_182,1,0,32,1,73.16,2341.12,1,378.9,0,3,0,0,True,False,True,False,0.23,Low,16.83
CUST_183,0,0,15,0,64.68,970.2,3,286.8,2,0,0,0,True,False,False,False,0.18,Low,11.64
CUST_184,1,1,7,1,98.03,686.21,3,444.4,1,1,0,1,False,False,False,False,0.64,High,62.74
CUST_185,1,0,44,2,47.17,2075.48,3,538.8,2,2,0,0,False,True,True,False,0.05,Low,2.36
CUST_186,1,1,7,2,50.73,355.11,1,339.8,2,1,0,0,False,False,False,False,0.18,Low,9.13
CUST_187,0,0,21,0,89.29,1875.09,2,376.8,0,0,0,0,True,False,False,False,0.31,Medium,27.68
CUST_188,1,0,33,2,132.38,4368.54,0,460.3,1,2,1,1,True,False,True,False,0.15,Low,19.86
CUST_189,1,1,14,2,128.47,1798.58,0,396.1,2,2,0,1,True,False,True,False,0.12,Low,15.42
CUST_190,0,0,33,0,88.3,2913.9,1,345.5,1,1,0,0,True,False,False,False,0.27,Low,23.84
CUST_191,1,0,55,2,61.24,3368.2,1,289.1,1,1,0,0,False,True,False,False,0.07,Low,4.29
CUST_192,1,0,32,2,56.65,1812.8,1,186.6,2,2,0,0,True,False,True,False,0.05,Low,2.83
CUST_193,1,0,18,0,60.32,1085.76,1,272.3,0,1,0,0,True,False,False,False,0.37,Medium,22.32
CUST_194,1,1,21,1,26.47,555.87,0,276.4,2,0,0,0,True,False,False,False,0.1,Low,2.65
CUST_195,1,0,2,0,87.07,174.14,3,302.2,2,1,0,0,False,False,False,False,0.5,Medium,43.54
CUST_196,0,0,12,1,103.03,1236.36,0,116.7,2,1,0,1,False,False,False,False,0.54,Medium,55.64
CUST_197,0,0,2,2,66.62,133.24,1,264.0,2,3,1,0,False,False,True,False,0.19,Low,12.66
CUST_198,0,0,9,0,122.32,1100.88,3,274.1,0,0,1,1,False,False,False,False,0.82,High,100.3
CUST_199,1,0,20,0,138.15,2763.0,0,160.7,2,1,0,1,True,False,False,False,0.38,Medium,52.5
CUST_200,1,0,25,2,92.13,2303.25,1,340.6,1,0,0,1,True,False,False,False,0.14,Low,12.9
CUST_201,1,0,29,2,53.24,1543.96,1,392.7,1,0,0,0,True,False,False,False,0.07,Low,3.73
CUST_202,0,1,67,0,48.54,3252.18,2,299.6,2,0,1,0,False,True,False,False,0.2,Low,9.71
CUST_203,1,0,5,2,89.35,446.75,2,175.8,0,0,1,0,False,False,False,False,0.27,Low,24.12
CUST_204,1,0,8,0,96.33,770.64,1,289.7,1,1,0,1,False,False,False,False,0.8,High,77.06
CUST_205,0,1,24,0,53.58,1285.92,0,373.3,1,0,0,0,True,False,False,False,0.26,Low,13.93
CUST_206,1,0,35,1,41.01,1435.35,2,369.9,2,0,0,0,True,False,False,False,0.1,Low,4.1
CUST_207,0,0,11,1,27.23,299.53,0,295.3,1,2,0,0,False,False,True,False,0.42,Medium,11.44
CUST_208,0,0,22,1,43.91,966.02,0,341.0,0,1,0,0,True,False,False,False,0.22,Low,9.66
CUST_209,0,1,25,0,59.55,1488.75,2,236.5,1,0,1,0,True,False,False,False,0.25,Low,14.89
CUST_210,1,0,58,0,97.26,5641.08,1,374.5,2,2,0,1,False,True,True,False,0.38,Medium,36.96
CUST_211,1,1,5,2,55.68,278.4,2,259.1,1,1,0,0,False,False,False,False,0.23,Low,12.81
CUST_212,1,0,28,0,20.0,560.0,0,223.6,2,3,0,0,True,False,True,False,0.26,Low,5.2
CUST_213,1,0,35,0,53.62,1876.7,3,395.2,2,0,0,0,True,False,False,False,0.19,Low,10.19
CUST_214,1,0,30,2,61.67,1850.1,2,313.3,0,1,0,0,True,False,False,False,0.1,Low,6.17
CUST_215,1,0,47,1,61.12,2872.64,3,308.2,2,0,0,0,False,True,False,False,0.09,Low,5.5
CUST_216,1,0,7,0,20.0,140.0,1,353.4,1,0,1,0,False,False,False,False,0.58,Medium,11.6
CUST_217,0,0,1,0,61.47,61.47,2,293.2,1,2,1,0,False,False,True,False,0.6,Medium,36.88
CUST_218,1,0,45,2,103.0,4635.0,3,206.8,0,0,0,1,False,True,False,False,0.18,Low,18.54
CUST_219,0,0,14,2,58.35,816.9,1,277.5,2,1,0,0,True,False,False,False,0.05,Low,2.92
CUST_220,1,0,18,0,53.13,956.34,0,151.0,1,0,0,0,True,False,False,False,0.26,Low,13.81
CUST_221,1,0,20,1,50.7,1014.0,1,417.2,2,1,0,0,True,False,False,False,0.11,Low,5.58
CUST_222,1,0,22,0,73.83,1624.26,1,189.1,1,1,0,0,True,False,False,False,0.28,Low,20.67
CUST_223,0,0,38,2,31.92,1212.96,0,494.4,2,1,0,0,False,True,False,False,0.06,Low,1.92
CUST_224,0,0,27,0,41.66,1124.82,1,221.1,0,3,0,0,True,False,True,False,0.41,Medium,17.08
CUST_225,0,0,5,1,98.05,490.25,2,361.6,2,3,1,1,False,False,True,False,0.58,Medium,56.87
CUST_226,0,0,18,0,86.78,1562.04,1,487.8,0,1,0,0,True,False,False,False,0.36,Medium,31.24
CUST_227,1,0,25,0,56.44,1411.0,3,326.1,2,1,1,0,True,False,False,False,0.21,Low,11.85
CUST_228,0,1,29,2,82.16,2382.64,1,267.8,2,0,0,0,True,False,False,False,0.04,Low,3.29
CUST_229,1,0,17,0,47.01,799.17,3,303.2,1,0,1,0,True,False,False,False,0.25,Low,11.75
CUST_230,1,0,12,2,46.7,560.4,1,213.5,2,2,0,0,False,False,True,False,0.18,Low,8.41
CUST_231,0,0,39,0,46.19,1801.41,2,97.4,2,0,1,0,False,True,False,False,0.19,Low,8.78
CUST_232,0,0,14,0,30.76,430.64,0,359.6,1,1,1,0,True,False,False,False,0.3,Low,9.23
CUST_233,0,0,31,0,67.63,2096.53,0,97.4,1,0,1,0,True,False,False,False,0.25,Low,16.91
CUST_234,0,0,37,0,119.75,4430.75,3,163.2,2,0,0,1,False,True,False,False,0.32,Medium,38.32
CUST_235,0,0,24,0,20.06,481.44,1,305.8,1,0,1,0,True,False,False,False,0.27,Low,5.42
CUST_236,0,0,11,2,112.15,1233.65,1,234.0,2,0,0,1,False,False,False,False,0.31,Medium,34.77
CUST_237,0,0,27,1,20.0,540.0,2,349.1,2,0,0,0,True,False,False,False,0.1,Low,2.0
CUST_238,0,0,16,2,82.48,1319.68,1,459.9,2,0,0,0,True,False,False,False,0.04,Low,3.3
CUST_239,1,0,72,0,23.57,1697.04,3,274.4,2,2,1,0,False,True,True,False,0.25,Low,5.89
CUST_240,0,0,36,0,82.78,2980.08,3,239.2,2,0,1,0,True,False,False,False,0.17,Low,14.07
CUST_241,0,1,35,0,49.68,1738.8,2,476.8,1,1,1,0,True,False,False,False,0.29,Low,14.41
CUST_242,1,0,44,2,87.95,3869.8,3,368.4,0,3,1,0,False,True,True,False,0.11,Low,9.67
CUST_243,0,0,2,0,49.88,99.76,3,392.4,2,2,1,0,False,False,True,False,0.5,Medium,24.94
CUST_244,1,1,18,0,82.33,1481.94,2,384.5,2,0,0,0,True,False,False,False,0.18,Low,14.82
CUST_245,1,0,42,0,64.59,2712.78,3,275.3,2,0,0,0,False,True,False,False,0.18,Low,11.63
CUST_246,0,0,12,0,100.2,1202.4,3,262.4,2,1,1,1,False,False,False,False,0.72,High,72.14
